id,speaker,text,visualEventKey,choiceKey,nextId
ch07_001,내레이션,"어둠 속에서 오르페우스의 발소리가 울렸다.",ch07_001_visual,,ch07_002
ch07_002,내레이션,"그의 뒤에서는 아무런 소리도 들리지 않았다. 계단은 끝이 보이지 않을 만큼 길었다. 벽에는 타오르는 횃불이 없었다.",ch07_002_visual,,ch07_003
ch07_003,내레이션,"오직 그의 믿음만이 앞을 비추고 있었다.",ch07_003_visual,,ch07_004
ch07_004,오르페우스,"괜찮아. 넌 바로 내 뒤에 있어.",ch07_004_visual,,ch07_005
ch07_005,내레이션,"하지만 그의 마음속에는 희미한 의심이 피어났다. 정말로 그녀가 따라오고 있는 걸까?",ch07_005_visual,,ch07_006
ch07_006,내레이션,"그는 한 걸음 한 걸음 조심스럽게 내디뎠다. 발소리가 메아리쳐 돌아왔다.",ch07_006_visual,,ch07_007
ch07_007,내레이션,"그 메아리 속에 그녀의 발소리가 섞여 있는지, 아니면 자신의 망상일 뿐인지 알 수 없었다.",ch07_007_visual,,ch07_008
ch07_008,오르페우스,"에우리디케. 네가 거기 있구나.",ch07_008_visual,,ch07_009
ch07_009,내레이션,"하지만 대답은 없었다. 오직 그의 발소리와 심장 소리만이 들렸다.",ch07_009_visual,,ch07_010
ch07_010,내레이션,"계단은 좁았고, 벽은 차가웠다. 그는 손을 뻗어 벽에 기댔다. 축축하고 서늘한 감촉이 느껴졌다.",ch07_010_visual,,ch07_011
ch07_011,내레이션,"마치 저승의 속삭임 같았다.",ch07_011_visual,,ch07_012
ch07_012,오르페우스,"거의 다 왔어. 이제 거의 다 왔어.",ch07_012_visual,,ch07_013
ch07_013,내레이션,"그는 스스로를 다그쳤다. 하지만 걸을수록 의심은 커져만 갔다.",ch07_013_visual,,ch07_014
ch07_014,내레이션,"만약 하데스가 자신을 속였다면? 만약 이 모든 것이 환상이라면?",ch07_014_visual,,ch07_015
ch07_015,내레이션,"그의 발걸음이 조금씩 빨라졌다. 지상의 빛이 멀리서 보이기 시작했다. 희미하지만, 명확한 빛이었다.",ch07_015_visual,,ch07_016
ch07_016,내레이션,"그 빛을 보자, 그의 마음은 다시 희망으로 채워졌다.",ch07_016_visual,,ch07_017
ch07_017,오르페우스,"저기야, 저기. 우리가 가야 할 곳이 저기야.",ch07_017_visual,,ch07_018
ch07_018,내레이션,"하지만 그의 기쁨은 오래가지 않았다. 그는 문득 한 가지 사실을 깨달았다.",ch07_018_visual,,ch07_019
ch07_019,내레이션,"빛이 가까워질수록, 그의 뒤따르는 그림자는 더욱 길어지고 있었다. 그 그림자 속에 에우리디케가 있는 걸까?",ch07_019_visual,,ch07_020
ch07_020,내레이션,"그는 멈춰 섰다. 숨을 고르려 했지만, 가슴이 미친 듯이 뛰었다.",ch07_020_visual,,ch07_021
ch07_021,내레이션,"뒤를 돌아보고 싶은 욕망이 그를 사로잡았다. 딱 한 번만. 그녀의 얼굴을 확인하고 싶었다.",ch07_021_visual,,ch07_022
ch07_022,오르페우스,"안 돼. 약속했어. 뒤를 돌아보면 안 돼.",ch07_022_visual,,ch07_023
ch07_023,내레이션,"그는 다시 걷기 시작했다. 하지만 이번에는 이전과 달랐다. 걸음은 불안정했고, 마음은 혼란스러웠다.",ch07_023_visual,,ch07_024
ch07_024,내레이션,"희망과 의심이 그의 안에서 싸우고 있었다.",ch07_024_visual,,ch07_025
ch07_025,내레이션,"마침내, 그는 지상과 맞닿은 마지막 문 앞에 도착했다. 문틈으로 밝은 햇살이 쏟아져 들어왔다.",ch07_025_visual,,ch07_026
ch07_026,내레이션,"그는 한 걸음, 단 한 걸음만 더 내디뎌야 했다.",ch07_026_visual,,ch07_027
ch07_027,오르페우스,"에우리디케, 우리는 거의 다 왔어. 이제 나란히 걸을 수 있어.",ch07_027_visual,ch07_final_choice,
ch07_true_001,내레이션,"그는 눈을 감았다.",ch07_true_001_visual,,ch07_true_002
ch07_true_002,내레이션,"모든 욕망, 모든 의심을 떨쳐냈다. 그에게 필요한 것은 오직 믿음뿐이었다. 그녀의 숨소리가 들린다고 믿었다.",ch07_true_002_visual,,ch07_true_003
ch07_true_003,내레이션,"그녀의 손이 곧 자신의 손을 잡을 것이라 믿었다.",ch07_true_003_visual,,ch07_true_004
ch07_true_004,오르페우스,"와줘서 고마워, 에우리디케.",ch07_true_004_visual,,ch07_true_005
ch07_true_005,내레이션,"그는 마지막 한 걸음을 내디뎠다. 햇살이 그의 온몸을 감쌌다. 차가운 저승의 공기가 사라졌다.",ch07_true_005_visual,,ch07_true_006
ch07_true_006,내레이션,"익숙한 땅냄새와 풀냄새가 그의 폐를 채웠다. 그는 문밖으로 나와선 뒤에서 따라오는 소리를 기다렸다.",ch07_true_006_visual,,ch07_true_007
ch07_true_007,내레이션,"조용했다.",ch07_true_007_visual,,ch07_true_008
ch07_true_008,내레이션,"심장이 멎는 듯한 순간이 지나갔다. 그는 이내 자신의 어리석음을 자책했다. 정말로 환상이었나.",ch07_true_008_visual,,ch07_true_009
ch07_true_009,내레이션,"그는 절망에 빠져 무릎을 꿇으려 했다. 바로 그때, 부드러운 손길이 그의 어깨에 닿았다.",ch07_true_009_visual,,ch07_true_010
ch07_true_010,오르페우스,"...!",ch07_true_010_visual,,ch07_true_011
ch07_true_011,내레이션,"그는 천천히, 아주 천천히 돌아봤다. 약속을 어긴 것은 아니었다.",ch07_true_011_visual,,ch07_true_012
ch07_true_012,내레이션,"그는 이미 저승을 빠져나온 뒤였다.",ch07_true_012_visual,,ch07_true_013
ch07_true_013,내레이션,"그의 앞에는, 살아 숨 쉬는 에우리디케가 서 있었다. 투명한 형체가 아니었다.",ch07_true_013_visual,,ch07_true_014
ch07_true_014,내레이션,"눈물에 젖은 눈으로 그를 바라보는, 그가 사랑하는 사람이었다.",ch07_true_014_visual,,ch07_true_015
ch07_true_015,에우리디케,"너... 정말 왔구나.",ch07_true_015_visual,,ch07_true_016
ch07_true_016,내레이션,"오르페우스는 대답할 수 없었다. 그는 그녀를 꽉 끌어안았다. 따스한 온기. 살아있는 증거.",ch07_true_016_visual,,ch07_true_017
ch07_true_017,내레이션,"그는 그녀의 등 뒤로 팔을 둘러, 그녀를 단단히 붙잡았다.",ch07_true_017_visual,,ch07_true_018
ch07_true_018,오르페우스,"미안해. 이렇게 늦게. 나 혼자서 널 데려오려다니.",ch07_true_018_visual,,ch07_true_019
ch07_true_019,에우리디케,"괜찮아. 네가 날 부르는 소리가 들렸어. 그 노래가 나를 이끌었어.",ch07_true_019_visual,,ch07_true_020
