id,speaker,text,visualEventKey,choiceKey,nextId
ch01_001,내레이션,"아침 햇살이 숲 사이로 쏟아져 내리는 곳. 오르페우스는 나무에 기댄 채 리라를 조용히 뜯고 있고, 그 옆에서 에우리디케는 무릎에 앉은 나뭇잎을 만지작거리고 있다.",ch01_001_visual,,ch01_002
ch01_002,에우리디케,"이봐, 네 연습 때문에 다른 새들이 다 도망갔어.",ch01_002_visual,,ch01_003
ch01_003,오르페우스,"꼭 그렇지도 않아. 방금 전만 해도 꾸꾸리 한 마리가 내 옆에 내려앉더군. 내 노래에 반했나 봐.",ch01_003_visual,,ch01_004
ch01_004,에우리디케,"흥, 그 새가 네 노래를 들었던지, 아니면 네 주머니 속 빵 조각을 보았던지는 몰라도.",ch01_004_visual,,ch01_005
ch01_005,오르페우스,"내 영혼을 깎아내리는 말이군. 하지만 난 빵 조각을 가지고 있지 않았는데. 그러니 역시 내 노래였을 거야.",ch01_005_visual,,ch01_006
ch01_006,에우리디케,"알았어, 알았어. 네 노래가 세상에서 제일 멋지다고 해줄게. 대신 이제 그만하고 숲 구경이나 할까?",ch01_006_visual,,ch01_007
ch01_007,오르페우스,"아, 이 새로운 가락이 완성될 때만 기다려줘. 거의 다 왔어. 잠깐만 더 들어봐, 마지막 화음을 맞춰야 해.",ch01_007_visual,,ch01_008
ch01_008,에우리디케,"마지막 화음이라니, 네가 10분 전부터 그렇게 말하고 있었잖아.",ch01_008_visual,,ch01_009
ch01_009,오르페우스,"예술에는 시간이 필요한 법이지. 좋아, 다 됐어. 어때, 숲을 위한 새로운 아침 노래인데?",ch01_009_visual,,ch01_010
ch01_010,에우리디케,"음... 생각보다 낫네. 특히 그 가락이 바람 소리처럼 흐르는 부분. 딱 봐도 저기 나뭇가지가 다들 고개를 끄덕이는 것 같아.",ch01_010_visual,,ch01_011
ch01_011,오르페우스,"네가 그렇게 말해주니 보람이 느껴지는군. 이리 와봐. 이쪽엔 특이한 버섯이 자라는데, 네가 좋아할 만한 모양이야.",ch01_011_visual,,ch01_012
ch01_012,에우리디케,"와, 정말 예쁘다. 작은 우산처럼 생겼네. 만지면 안 되겠지?",ch01_012_visual,,ch01_013
ch01_013,오르페우스,"그래, 보기만 하는 게 좋겠어. 네가 손가락 하나 까딱하면 이 숲의 평화가 깨질지도 몰라.",ch01_013_visual,,ch01_014
ch01_014,에우리디케,"아주 재미있으시네요. 저는 그냥 이끼나 좀 만질게. 네 리라보다 훨씬 순하고 말이야.",ch01_014_visual,,ch01_015
ch01_015,오르페우스,"그 이끼 위에 내가 잠시 누워볼까? 네가 좋아하는 숲의 잔디밭 위에서 노래하는 것보다 더 좋을지도 몰라.",ch01_015_visual,,ch01_016
ch01_016,에우리디케,"누워서 자거든? 난 그냥 저기 개울가로 가볼래. 물소리 들으면서 조금 더 걷고 싶어.",ch01_016_visual,,ch01_017
ch01_017,오르페우스,"기다려, 내가 갈게. 이 리라를 안전하게 여기에 두고. 혹시 모르지, 물속 요정이 나를 유혹할지도.",ch01_017_visual,,ch01_018
ch01_018,에우리디케,"넌 언제나 이상한 상상만 하고 다니는구나. 가긴 가는데, 물속 요정보다는 네가 먼저 미끄러져 넘어질까 조심해.",ch01_018_visual,,ch01_019
ch01_019,오르페우스,"내가 넘어지면 네가 잡아주면 되잖아. 어차피 이 길은 너와 함께 걷는 거니까.",ch01_019_visual,,ch02_001
