id,speaker,text,visualEventKey,choiceKey,nextId
ch04_001,내레이션,"안개가 자욱한 강변. 물은 검은 잉크처럼 보였고, 물살 소리는 들리지 않았다.",ch04_001_visual,,ch04_002
ch04_002,내레이션,"강가에는 낡은 배 한 척이 흔들리고 있었고, 그 위에는 거대한 그림자가 서 있었다. 카론이었다.",ch04_002_visual,,ch04_003
ch04_003,오르페우스,"나를 저편으로 건네주시오.",ch04_003_visual,,ch04_004
ch04_004,내레이션,"카론은 천천히 고개를 돌렸다. 그의 얼굴은 수천 년의 시간에 닳아 없어진 듯, 깊게 팬 주름으로 가득했다.",ch04_004_visual,,ch04_005
ch04_005,카론,"넌 산 자다. 이 강은 산 자의 것이 아니다.",ch04_005_visual,,ch04_006
ch04_006,오르페우스,"산 자가 아닐 수도 있습니다. 에우리디케를 찾으러 왔으니까요.",ch04_006_visual,,ch04_007
ch04_007,카론,"사랑하는 이를 찾아온 영혼은 하루에도 수십 명이다. 너도 결국 그들 중 하나가 될 뿐이다. 때가 되면 자연히 찾아오게. 돌아가거라.",ch04_007_visual,,ch04_008
ch04_008,오르페우스,"때가 되면...요? 그녀를 잃은 시간은 누가 책임집니까? 그녀는 이곳에 올 자격이 없어요.",ch04_008_visual,,ch04_009
ch04_009,오르페우스,"우연히... 잘못된 일로 왔을 뿐입니다.",ch04_009_visual,,ch04_010
ch04_010,카론,"우연이라, 잘못이라. 모든 것은 운명의 실에 의해 짜인 그림이다. 그림에 티를 낸다고 해서 실이 풀리지는 않는다.",ch04_010_visual,,ch04_011
ch04_011,카론,"네 이야기는 들었지. 그러나 규칙은 규칙이다. 돌아가서 네가 할 수 있는 애도를 하도록.",ch04_011_visual,,ch04_012
ch04_012,내레이션,"오르페우스는 입술을 깨물었다. 카론의 말은 옳았지만, 그의 결심은 흔들리지 않았다.",ch04_012_visual,,ch04_013
ch04_013,오르페우스,"애도는 이미 끝났습니다. 이제는 행동할 차례입니다.",ch04_013_visual,,ch04_014
ch04_014,내레이션,"카론은 다시 노를 잡으려 했다. 오르페우스는 그에게 다가가지 않았다. 대신 자신의 리라를 천천히 들어 올렸다.",ch04_014_visual,,ch04_015
ch04_015,내레이션,"그리고 줄을 건드렸다.",ch04_015_visual,,ch04_016
ch04_016,내레이션,"첫 음이 울렸다. 단순한 소리가 아니었다. 그것은 슬픔 자체였다.",ch04_016_visual,,ch04_017
ch04_017,내레이션,"살아있는 자가 죽은 자를 그리는 마음. 강물 위를 떠도는 영혼들의 희미한 속삭임. 잊혀진 기억의 냄새.",ch04_017_visual,,ch04_018
ch04_018,내레이션,"모든 것이 그의 연주 속에 담겨 있었다.",ch04_018_visual,,ch04_019
ch04_019,내레이션,"카론은 움직임을 멈췄다. 수천 년 동안 이 강에서 영혼을 건넜지만, 이런 소리는 들어본 적이 없었다.",ch04_019_visual,,ch04_020
ch04_020,카론,"이 음은... 살아있는 자의 소리가 아니다. 그렇다고 죽은 자의 소리도 아니다.",ch04_020_visual,,ch04_021
ch04_021,내레이션,"오르페우스는 말없이 연주를 계속했다. 그의 손가락이 줄 위를 지나자, 강가의 안개가 천천히 흔들리기 시작했다.",ch04_021_visual,,ch04_022
ch04_022,내레이션,"검은 강물 속에서 수많은 영혼들이 고개를 들어 그를 바라보는 듯했다. 그들의 얼굴에는 오랫동안 잊어버렸던 감정들이 떠올랐다.",ch04_022_visual,,ch04_023
ch04_023,내레이션,"그리움, 후회, 그리고 희미한 희망.",ch04_023_visual,,ch04_024
ch04_024,카론,"그만해...",ch04_024_visual,,ch04_025
ch04_025,내레이션,"오르페우스는 멈추지 않았다. 그는 카론이 아닌, 강물과 영혼들, 그리고 저승 전체에게 연주하고 있었다.",ch04_025_visual,,ch04_026
ch04_026,내레이션,"그는 에우리디케를 부르고 있었다. 그의 노래가 저승의 가장 깊은 곳까지 닿기를 바라며.",ch04_026_visual,,ch04_027
ch04_027,내레이션,"마침내 카론은 길고 긴 한숨을 내쉬었다. 그의 눈에는 이전의 냉혹함 대신 깊은 피로감이 어려 있었다.",ch04_027_visual,,ch04_028
ch04_028,카론,"타거라.",ch04_028_visual,,ch04_029
ch04_029,내레이션,"그는 노를 배 가장자리에 기댔다. 오르페우스의 연주가 멈췄다. 침묵이 내려앉았지만, 이전의 침묵과는 달랐다.",ch04_029_visual,,ch04_030
ch04_030,내레이션,"무언가 변했다는 느낌이 들었다.",ch04_030_visual,,ch04_031
ch04_031,내레이션,"오르페우스는 말없이 배에 올랐다. 카론은 그를 돌아보지 않았다. 그저 조용히 노를 저어 검은 강물을 가르기 시작했다.",ch04_031_visual,,ch04_032
ch04_032,오르페우스,"에우리디케. 곧... 곧 만난다.",ch04_032_visual,,ch05_001
