id,speaker,text,visualEventKey,choiceKey,nextId
ch03_001,내레이션,"에우리디케가 없는 숲은 고요했다.",ch03_001_visual,,ch03_002
ch03_002,내레이션,"아침 햇살은 여전히 쏟아져 내렸지만, 그 빛은 이제 춥고 날카롭기만 했다. 오르페우스는 창가에 앉아 무릎 위의 리라를 내려다보았다.",ch03_002_visual,,ch03_003
ch03_003,내레이션,"줄은 퉁명스럽게 잠겨 있었다.",ch03_003_visual,,ch03_004
ch03_004,오르페우스,"네가 없으니, 이게 더 이상 노래가 아니구나. 그냥... 소음일 뿐이야.",ch03_004_visual,,ch03_005
ch03_005,내레이션,"그는 손가락으로 줄을 툭 건드렸다. 울림 없는 소음이 방 안을 채웠다.",ch03_005_visual,,ch03_006
ch03_006,내레이션,"바람이 창문을 흔들었지만, 예전처럼 장난기 넘치게 그녀의 머리카락을 휘날리지 않았다. 그저 차가운 금속음만 남았다.",ch03_006_visual,,ch03_007
ch03_007,오르페우스,"어째서... 어째서 널 두고 왔던 걸까. 그 개울가에 함께 가자고 했던 건 나였는데.",ch03_007_visual,,ch03_008
ch03_008,오르페우스,"내가 그 곁에 있었더라면...",ch03_008_visual,,ch03_009
ch03_009,내레이션,"책상 위에는 그녀가 주웠던 작은 나뭇잎이 말라비틀어져 있었다. 그는 그 잎을 조심스럽게 집어 들었다.",ch03_009_visual,,ch03_010
ch03_010,내레이션,"한때는 생생한 녹색을 띠던 것이, 이제는 부서지기 쉬운 갈색이 되어 있었다.",ch03_010_visual,,ch03_011
ch03_011,오르페우스,"모든 게... 내 잘못이야. 네가 좋아하던 이 숲도, 이 햇살도, 이 새소리도 전부... 너를 데려가 버렸어.",ch03_011_visual,,ch03_012
ch03_012,오르페우스,"이젠 아무 의미도 없어.",ch03_012_visual,,ch03_013
ch03_013,내레이션,"그는 자리에서 일어나 방을 어슬렁거렸다. 그녀가 벽에 둔 작은 꽃병. 그녀가 앉던 의자.",ch03_013_visual,,ch03_014
ch03_014,내레이션,"그녀가 웃으며 그에게 던졌던 말들이 환청처럼 귓가를 맴돌았다.",ch03_014_visual,,ch03_015
ch03_015,오르페우스,"네 노래가 세상에서 제일 멋지다고 해줄게. 그 말이... 이토록 아플 줄이야.",ch03_015_visual,,ch03_016
ch03_016,내레이션,"그는 다시 리라 앞으로 돌아왔다. 이번에는 줄을 거칠게 잡아당겼다. 날카로운 소음이 방을 갈랐다.",ch03_016_visual,,ch03_017
ch03_017,내레이션,"그 소리 속에서 그는 무언가를 깨달았다. 슬픔에 잠겨 지내는 것만으로는 아무것도 바뀌지 않는다.",ch03_017_visual,,ch03_018
ch03_018,오르페우스,"그래. 이럴 수는 없어.",ch03_018_visual,,ch03_019
ch03_019,내레이션,"그의 눈이 다시 살아났다. 절망의 자리에 굳건한 결심이 자라났다.",ch03_019_visual,,ch03_020
ch03_020,오르페우스,"신들이 정한 운명이라고? 죽음의 법칙이라고? 그딴 건 내 알 바 아니야.",ch03_020_visual,,ch03_021
ch03_021,오르페우스,"내가 그녀를 되찾아 올 거야. 어떻게든.",ch03_021_visual,,ch03_022
ch03_022,내레이션,"그는 리라를 들고 문을 열었다. 문밖은 어두웠지만, 그의 눈은 미래를 향해 타오르고 있었다.",ch03_022_visual,,ch03_023
ch03_023,오르페우스,"설령 저 세상, 저승문까지 찾아가더라도.",ch03_023_visual,,ch03_024
ch03_024,내레이션,"그는 결심했다. 그의 목적지는 명확했다.",ch03_024_visual,,ch03_025
ch03_025,내레이션,"이제 그는 단순한 연주자가 아니었다. 사랑하는 사람을 되찾기 위해 신의 영역에 도전할 오르페우스가 될 것이다.",ch03_025_visual,,ch03_026
ch03_026,내레이션,"그의 첫 걸음이 어둠 속으로 시작되었다.",ch03_026_visual,,ch04_001
